#C_ID        C_RA    C_DEC   C_Z   C_NGAL C_SN   C_AREA C_SIZE
000000000579 320.442 +00.613 0.589 000003 00.122 20.126 02.531
000000000141 140.076 +00.490 0.532 000003 00.249 04.849 01.242
000000000167 015.667 -00.360 0.569 000003 00.167 10.749 01.850
000000000190 015.140 -00.516 0.581 000003 00.193 08.025 01.598
000000000157 156.475 -00.126 0.556 000003 00.182 09.071 01.699
000000000169 139.693 -00.657 0.543 000003 00.179 09.342 01.724
000000000134 142.174 -00.257 0.547 000003 00.169 10.549 01.832
000000000164 012.741 +00.624 0.547 000003 00.256 04.581 01.208
000000000171 167.804 -00.847 0.544 000003 00.196 07.783 01.574
000000000172 150.555 -00.706 0.576 000003 00.183 08.932 01.686
000000000173 151.525 +00.557 0.552 000003 00.122 20.317 02.543
000000000174 138.052 -00.788 0.553 000003 00.131 17.562 02.364
000000000175 010.237 +00.406 0.572 000003 00.200 07.468 01.542
000000000587 197.799 -00.805 0.614 000003 00.121 20.334 02.544
000000000177 156.056 -00.675 0.545 000003 00.192 08.129 01.609
000000000585 207.070 -01.113 0.596 000003 00.123 19.925 02.518
000000000588 208.361 -00.654 0.615 000003 00.117 21.809 02.635
000000000159 156.628 -00.524 0.562 000003 00.312 03.079 00.990
000000000179 009.680 +00.755 0.582 000003 00.376 02.120 00.821
000000000145 162.736 -00.516 0.541 000003 00.286 03.680 01.082
000000000180 161.518 -01.128 0.581 000003 00.199 07.597 01.555
000000000589 342.358 -00.187 0.607 000003 00.098 31.383 03.161
000000000590 209.028 -00.426 0.601 000003 00.106 26.904 02.926
000000000153 150.706 +00.549 0.548 000003 00.158 11.983 01.953
000000000151 150.362 -00.322 0.567 000003 00.331 02.738 00.934
000000000183 014.640 -01.162 0.596 000003 00.131 17.579 02.366
000000000168 139.123 -00.140 0.557 000003 00.228 05.768 01.355
000000000184 160.859 -00.296 0.558 000003 00.240 05.221 01.289
000000000583 223.046 -00.422 0.610 000003 00.111 24.457 02.790
000000000186 139.710 -00.256 0.589 000003 00.207 06.974 01.490
000000000148 037.729 +00.223 0.522 000003 00.292 03.507 01.057
000000000147 140.485 +00.057 0.532 000003 00.162 11.424 01.907
000000000188 163.985 -00.549 0.540 000003 00.190 08.297 01.625
000000000150 036.747 +00.284 0.551 000003 00.165 11.028 01.874
000000000488 206.294 -00.718 0.553 000003 00.360 02.321 00.859
000000000133 014.969 -00.442 0.529 000003 00.193 08.050 01.601
000000000609 222.836 +00.270 0.619 000003 00.071 59.371 04.347
000000000038 012.698 +00.316 0.482 000003 00.189 08.420 01.637
000000000614 229.363 -00.383 0.620 000003 00.091 36.177 03.393
000000000040 141.999 -00.138 0.505 000003 00.171 10.302 01.811
000000000043 011.084 -00.131 0.482 000003 00.498 01.208 00.620
000000000045 141.702 -00.074 0.479 000003 00.277 03.898 01.114
000000000046 153.000 -00.029 0.491 000003 00.175 09.839 01.770
000000000047 152.508 -00.598 0.484 000003 00.509 01.160 00.608
000000000048 141.994 +00.431 0.490 000003 00.329 02.769 00.939
000000000049 124.420 -00.355 0.484 000003 00.174 09.947 01.779
000000000051 155.924 +00.587 0.500 000003 00.159 11.895 01.946
000000000052 165.960 -00.850 0.482 000003 00.294 03.481 01.053
000000000053 166.983 -00.199 0.496 000003 00.201 07.460 01.541
000000000054 162.394 -00.268 0.500 000003 00.179 09.367 01.727
000000000612 213.098 -00.910 0.646 000003 00.111 24.140 02.772
000000000056 139.234 -00.205 0.483 000003 00.245 04.985 01.260
000000000058 010.783 +00.385 0.501 000003 00.229 05.735 01.351
000000000059 152.496 -00.259 0.498 000003 00.388 01.996 00.797
000000000060 185.385 -01.103 0.497 000003 00.200 07.495 01.545
000000000062 162.648 +00.518 0.474 000003 00.227 05.837 01.363
000000000063 015.142 -00.350 0.484 000003 00.138 15.817 02.244
000000000064 154.900 +00.171 0.507 000003 00.344 02.540 00.899
000000000037 162.224 +00.471 0.468 000003 00.187 08.543 01.649
000000000034 158.857 -00.416 0.484 000003 00.190 08.283 01.624
000000000032 140.886 -00.023 0.472 000003 00.260 04.448 01.190
000000000622 349.008 -00.071 0.669 000003 00.074 54.489 04.165
000000000001 151.321 -00.391 0.429 000003 00.032 292.981 09.657
000000000626 206.203 -00.653 0.681 000003 00.032 288.765 09.587
000000000003 163.559 -00.233 0.461 000003 00.047 135.781 06.574
000000000004 142.664 -00.456 0.436 000003 00.041 176.478 07.495
000000000005 164.179 -00.823 0.428 000003 00.055 100.768 05.664
000000000625 213.985 -00.662 0.677 000003 00.024 541.476 13.128
000000000009 015.688 +00.073 0.447 000003 00.097 31.773 03.180
000000000624 202.753 -00.025 0.643 000003 00.050 120.570 06.195
000000000623 323.835 -00.225 0.684 000003 00.059 86.848 05.258
